"Selitveno gibanje prebivalstva po: STATISTIÈNA REGIJA, LETO , MERITVE"

"SLOVENIJA"
" ";"1995"
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";31
" ";"2004"
" ";" ";"Selitveni prirast s tujino - Skupaj";250
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";67
" ";"2005"
" ";" ";"Selitveni prirast s tujino - Skupaj";705
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";29
" ";"2006"
" ";" ";"Selitveni prirast s tujino - Skupaj";770
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";21
" ";"2007"
" ";" ";"Selitveni prirast s tujino - Skupaj";2137
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";164
" ";"2008"
" ";" ";"Selitveni prirast s tujino - Skupaj";844
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";436
" ";"2009"
" ";" ";"Selitveni prirast s tujino - Skupaj";1048
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";301
" ";"2010"
" ";" ";"Selitveni prirast s tujino - Skupaj";-291
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";127
" ";"2011"
" ";" ";"Selitveni prirast s tujino - Skupaj";295
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";329
" ";"2012"
" ";" ";"Selitveni prirast s tujino - Skupaj";-371
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";281
" ";"2013"
" ";" ";"Selitveni prirast s tujino - Skupaj";-200
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";723
" ";"2014"
" ";" ";"Selitveni prirast s tujino - Skupaj";-217
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";352
" ";"2015"
" ";" ";"Selitveni prirast s tujino - Skupaj";-89
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-159
" ";"2016"
" ";" ";"Selitveni prirast s tujino - Skupaj";276
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-319
" ";"2017"
" ";" ";"Selitveni prirast s tujino - Skupaj";628
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";70
"Koroška"
" ";"1995"
" ";" ";"Selitveni prirast s tujino - Skupaj";-21
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-47
" ";"1996"
" ";" ";"Selitveni prirast s tujino - Skupaj";-1
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-52
" ";"1997"
" ";" ";"Selitveni prirast s tujino - Skupaj";-3
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-46
" ";"1998"
" ";" ";"Selitveni prirast s tujino - Skupaj";-47
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-53
" ";"1999"
" ";" ";"Selitveni prirast s tujino - Skupaj";31
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-119
" ";"2000"
" ";" ";"Selitveni prirast s tujino - Skupaj";1
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-85
" ";"2001"
" ";" ";"Selitveni prirast s tujino - Skupaj";-36
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-63
" ";"2002"
" ";" ";"Selitveni prirast s tujino - Skupaj";-61
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-105
" ";"2003"
" ";" ";"Selitveni prirast s tujino - Skupaj";10
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-71
" ";"2004"
" ";" ";"Selitveni prirast s tujino - Skupaj";25
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-86
" ";"2005"
" ";" ";"Selitveni prirast s tujino - Skupaj";150
