"Prebivalstvo po: STATISTI»NA REGIJA, LETO, STAROST , SPOL"

" ";" ";" ";"Spol - SKUPAJ"
"SLOVENIJA"
" ";" ";"65 + let";29010
" ";"1996"
" ";" ";"0-14 let";48262
" ";" ";"15-64 let";178271
" ";" ";"65 + let";30041
" ";"1997"
" ";" ";"0-14 let";46569
" ";" ";"15-64 let";178983
" ";" ";"65 + let";30904
" ";"1998"
" ";" ";"0-14 let";45155
" ";" ";"15-64 let";179341
" ";" ";"65 + let";31662
" ";"1999"
" ";" ";"0-14 let";43929
" ";" ";"15-64 let";178727
" ";" ";"65 + let";32315
" ";"2000"
" ";" ";"0-14 let";42769
" ";" ";"15-64 let";180446
" ";" ";"65 + let";33116
" ";"2001"
" ";" ";"0-14 let";41684
" ";" ";"15-64 let";180903
" ";" ";"65 + let";33820
" ";"2002"
" ";" ";"0-14 let";40776
" ";" ";"15-64 let";181349
" ";" ";"65 + let";34746
" ";"2003"
" ";" ";"0-14 let";39715
" ";" ";"15-64 let";181930
" ";" ";"65 + let";35323
" ";"2004"
" ";" ";"0-14 let";38644
" ";" ";"15-64 let";182223
" ";" ";"65 + let";35943
" ";"2005"
" ";" ";"0-14 let";38015
" ";" ";"15-64 let";182080
" ";" ";"65 + let";36657
" ";"2006"
" ";" ";"0-14 let";37425
" ";" ";"15-64 let";182617
" ";" ";"65 + let";37333
" ";"2007"
" ";" ";"0-14 let";37083
" ";" ";"15-64 let";183378
" ";" ";"65 + let";38019
" ";"2008"
" ";" ";"0-14 let";37072
" ";" ";"15-64 let";185041
" ";" ";"65 + let";39130
" ";"2009"
" ";" ";"0-14 let";37260
" ";" ";"15-64 let";181227
" ";" ";"65 + let";40358
" ";"2010"
" ";" ";"0-14 let";37437
" ";" ";"15-64 let";181377
" ";" ";"65 + let";41211
" ";"2011"
" ";" ";"0-14 let";37749
" ";" ";"15-64 let";180468
" ";" ";"65 + let";41509
" ";"2012"
" ";" ";"0-14 let";38041
" ";" ";"15-64 let";179981
" ";" ";"65 + let";42231
" ";"2013"
" ";" ";"0-14 let";38447
" ";" ";"15-64 let";178726
" ";" ";"65 + let";43044
" ";"2014"
" ";" ";"0-14 let";38699
" ";" ";"15-64 let";177243
" ";" ";"65 + let";43911
" ";"2015"
" ";" ";"0-14 let";38140
" ";" ";"15-64 let";171786
" ";" ";"65 + let";44049
" ";"2016"
" ";" ";"0-14 let";38398
" ";" ";"15-64 let";170655
" ";" ";"65 + let";45265
" ";"2017"
" ";" ";"0-14 let";38532
" ";" ";"15-64 let";169800
" ";" ";"65 + let";46429
"Zasavska"
" ";"1995"
" ";" ";"0-14 let";8326
" ";" ";"15-64 let";32176
" ";" ";"65 + let";6195
" ";"1996"
" ";" ";"0-14 let";8177
" ";" ";"15-64 let";32457
" ";" ";"65 + let";6478
" ";"1997"
" ";" ";"0-14 let";7849
" ";" ";"15-64 let";32464
" ";" ";"65 + let";6588
" ";"1998"
" ";" ";"0-14 let";7586
" ";" ";"15-64 let";32347
" ";" ";"65 + let";6780
" ";"1999"
" ";" ";"0-14 let";7351
" ";" ";"15-64 let";32137
" ";" ";"65 + let";6925
" ";"2000"
" ";" ";"0-14 let";7127
" ";" ";"15-64 let";32307
" ";" ";"65 + let";7017
" ";"2001"
" ";" ";"0-14 let";6894
" ";" ";"15-64 let";32235
" ";" ";"65 + let";7072
" ";"2002"
" ";" ";"0-14 let";6663
" ";" ";"15-64 let";32349
" ";" ";"65 + let";7111
" ";"2003"
" ";" ";"0-14 let";6389
" ";" ";"15-64 let";32368
" ";" ";"65 + let";7162
" ";"2004"
" ";" ";"0-14 let";6151
" ";" ";"15-64 let";32382
" ";" ";"65 + let";7229
" ";"2005"
" ";" ";"0-14 let";5946
" ";" ";"15-64 let";32341
" ";" ";"65 + let";7260
" ";"2006"
" ";" ";"0-14 let";5830
" ";" ";"15-64 let";32171
" ";" ";"65 + let";7355
" ";"2007"
" ";" ";"0-14 let";5751
" ";" ";"15-64 let";32022
" ";" ";"65 + let";7456
" ";"2008"
" ";" ";"0-14 let";5760
" ";" ";"15-64 let";31813
" ";" ";"65 + let";7653
" ";"2009"
" ";" ";"0-14 let";5727
