"","regija","leto","starostna skupina","stevilo"
"291","Savinjska",1999,"65 + let",32315
"292","Savinjska",2000,"0-14 let",42769
"293","Savinjska",2000,"15-64 let",180446
"294","Savinjska",2000,"65 + let",33116
"295","Savinjska",2001,"0-14 let",41684
"296","Savinjska",2001,"15-64 let",180903
"297","Savinjska",2001,"65 + let",33820
"298","Savinjska",2002,"0-14 let",40776
"299","Savinjska",2002,"15-64 let",181349
"300","Savinjska",2002,"65 + let",34746
"301","Savinjska",2003,"0-14 let",39715
"302","Savinjska",2003,"15-64 let",181930
"303","Savinjska",2003,"65 + let",35323
"304","Savinjska",2004,"0-14 let",38644
"305","Savinjska",2004,"15-64 let",182223
"306","Savinjska",2004,"65 + let",35943
"307","Savinjska",2005,"0-14 let",38015
"308","Savinjska",2005,"15-64 let",182080
"309","Savinjska",2005,"65 + let",36657
"310","Savinjska",2006,"0-14 let",37425
"311","Savinjska",2006,"15-64 let",182617
"312","Savinjska",2006,"65 + let",37333
"313","Savinjska",2007,"0-14 let",37083
"314","Savinjska",2007,"15-64 let",183378
"315","Savinjska",2007,"65 + let",38019
"316","Savinjska",2008,"0-14 let",37072
"317","Savinjska",2008,"15-64 let",185041
"318","Savinjska",2008,"65 + let",39130
"319","Savinjska",2009,"0-14 let",37260
"320","Savinjska",2009,"15-64 let",181227
"321","Savinjska",2009,"65 + let",40358
"322","Savinjska",2010,"0-14 let",37437
"323","Savinjska",2010,"15-64 let",181377
"324","Savinjska",2010,"65 + let",41211
"325","Savinjska",2011,"0-14 let",37749
"326","Savinjska",2011,"15-64 let",180468
"327","Savinjska",2011,"65 + let",41509
"328","Savinjska",2012,"0-14 let",38041
"329","Savinjska",2012,"15-64 let",179981
"330","Savinjska",2012,"65 + let",42231
"331","Savinjska",2013,"0-14 let",38447
"332","Savinjska",2013,"15-64 let",178726
"333","Savinjska",2013,"65 + let",43044
"334","Savinjska",2014,"0-14 let",38699
"335","Savinjska",2014,"15-64 let",177243
"336","Savinjska",2014,"65 + let",43911
"337","Savinjska",2015,"0-14 let",38140
"338","Savinjska",2015,"15-64 let",171786
"339","Savinjska",2015,"65 + let",44049
"340","Savinjska",2016,"0-14 let",38398
"341","Savinjska",2016,"15-64 let",170655
"342","Savinjska",2016,"65 + let",45265
"343","Savinjska",2017,"0-14 let",38532
"344","Savinjska",2017,"15-64 let",169800
"345","Savinjska",2017,"65 + let",46429
"346","Zasavska",1995,"0-14 let",8326
"347","Zasavska",1995,"15-64 let",32176
"348","Zasavska",1995,"65 + let",6195
"349","Zasavska",1996,"0-14 let",8177
"350","Zasavska",1996,"15-64 let",32457
"351","Zasavska",1996,"65 + let",6478
"352","Zasavska",1997,"0-14 let",7849
"353","Zasavska",1997,"15-64 let",32464
"354","Zasavska",1997,"65 + let",6588
"355","Zasavska",1998,"0-14 let",7586
"356","Zasavska",1998,"15-64 let",32347
"357","Zasavska",1998,"65 + let",6780
"358","Zasavska",1999,"0-14 let",7351
"359","Zasavska",1999,"15-64 let",32137
"360","Zasavska",1999,"65 + let",6925
"361","Zasavska",2000,"0-14 let",7127
"362","Zasavska",2000,"15-64 let",32307
"363","Zasavska",2000,"65 + let",7017
"364","Zasavska",2001,"0-14 let",6894
"365","Zasavska",2001,"15-64 let",32235
"366","Zasavska",2001,"65 + let",7072
"367","Zasavska",2002,"0-14 let",6663
"368","Zasavska",2002,"15-64 let",32349
"369","Zasavska",2002,"65 + let",7111
"370","Zasavska",2003,"0-14 let",6389
"371","Zasavska",2003,"15-64 let",32368
"372","Zasavska",2003,"65 + let",7162
"373","Zasavska",2004,"0-14 let",6151
"374","Zasavska",2004,"15-64 let",32382
"375","Zasavska",2004,"65 + let",7229
"376","Zasavska",2005,"0-14 let",5946
"377","Zasavska",2005,"15-64 let",32341
"378","Zasavska",2005,"65 + let",7260
"379","Zasavska",2006,"0-14 let",5830
"380","Zasavska",2006,"15-64 let",32171
"381","Zasavska",2006,"65 + let",7355
"382","Zasavska",2007,"0-14 let",5751
"383","Zasavska",2007,"15-64 let",32022
"384","Zasavska",2007,"65 + let",7456
"385","Zasavska",2008,"0-14 let",5760
"386","Zasavska",2008,"15-64 let",31813
"387","Zasavska",2008,"65 + let",7653
"388","Zasavska",2009,"0-14 let",5727
"389","Zasavska",2009,"15-64 let",31150
"390","Zasavska",2009,"65 + let",7873
"391","Zasavska",2010,"0-14 let",5737
"392","Zasavska",2010,"15-64 let",30975
"393","Zasavska",2010,"65 + let",7994
"394","Zasavska",2011,"0-14 let",5675
"395","Zasavska",2011,"15-64 let",30645
"396","Zasavska",2011,"65 + let",7902
"397","Zasavska",2012,"0-14 let",5706
"398","Zasavska",2012,"15-64 let",30265
"399","Zasavska",2012,"65 + let",7955
"400","Zasavska",2013,"0-14 let",5666
"401","Zasavska",2013,"15-64 let",29735
"402","Zasavska",2013,"65 + let",8101
"403","Zasavska",2014,"0-14 let",5622
"404","Zasavska",2014,"15-64 let",29194
"405","Zasavska",2014,"65 + let",8167
"406","Zasavska",2015,"0-14 let",8004
"407","Zasavska",2015,"15-64 let",39131
"408","Zasavska",2015,"65 + let",10576
"409","Zasavska",2016,"0-14 let",7980
"410","Zasavska",2016,"15-64 let",38521
"411","Zasavska",2016,"65 + let",10903
"412","Zasavska",2017,"0-14 let",8058
"413","Zasavska",2017,"15-64 let",38057
"414","Zasavska",2017,"65 + let",11165
"415","Posavska",1995,"0-14 let",13419
"416","Posavska",1995,"15-64 let",48982
"417","Posavska",1995,"65 + let",9607
